ID,Contractor,Size,Utility,Zip
20641,Positive Energy Solar,7.2,PNM,87120
20642,Positive Energy Solar,5.2,PNM,87110
20643,Positive Energy Solar,5.3,PNM,87107
20644,Positive Energy Solar,3.3,PNM,87106
20645,Positive Energy Solar,8.1,PNM,87107
20647,Positive Energy Solar,10.2,PNM,87122
20648,Positive Energy Solar,2.5,PNM,87507
20649,Positive Energy Solar,4.6,PNM,87505
20650,NM Solar Group,9.6,other,87107
20666,SunState Solar Inc./Energized,9.7,PNM,87123
20671,Select Solar LLC,8.9,JMEC,87506
20672,Affordable Solar Installation,8.4,PNM,87031
20673,Affordable Solar Installation,2.9,PNM,87043
20676,Marc S Jones Construction,7.2,PNM,87508
20677,Positive Energy Solar,4.9,PNM,87508
20678,Positive Energy Solar,5.4,PNM,87506
20679,Positive Energy Solar,7.0,PNM,87508
20680,Positive Energy Solar,4.2,PNM,87507
20681,Affordable Solar Installation,8.4,PNM,87111
20682,Positive Energy Solar,3.5,PNM,87505
20683,Positive Energy Solar,9.1,PNM,87508
20684,Positive Energy Solar,3.2,PNM,87110
20685,Positive Energy Solar,9.1,PNM,87106
20686,Positive Energy Solar,8.8,PNM,87124
20687,Positive Energy Solar,7.8,PNM,87122
20688,Positive Energy Solar,9.8,PNM,87048
20690,"Tesla, Inc.",12.2,PNM,87122
20695,Positive Energy Solar,7.4,PNM,87506
20696,Affordable Solar Installation,3.2,PNM,87109
20699,Affordable Solar Installation,4.1,PNM,87112
20700,Affordable Solar Installation,5.5,PNM,87111
20701,Affordable Solar Installation,6.1,PNM,87111
20712,Affordable Solar Installation,7.0,PNM,87104
20713,Affordable Solar Installation,7.0,PNM,87114
20714,Affordable Solar Installation,5.5,PNM,87031
20715,Affordable Solar Installation,10.4,PNM,87107
20716,Affordable Solar Installation,5.8,PNM,87122
20717,Affordable Solar Installation,6.0,PNM,87048
20718,Affordable Solar Installation,5.5,PNM,87111
20719,Affordable Solar Installations,5.2,PNM,87107
20720,Affordable Solar Installation,11.9,PNM,87508
20721,Affordable Solar Installation,3.5,PNM,87123
20722,Affordable Solar Installation,8.7,PNM,87107
20723,SunState Solar Inc./Energized Electric,5.3,PNM,87120
20724,Affordable Solar Installation,10.4,PNM,87110
20725,Affordable Solar Installation,7.5,PNM,87068
20726,Affordable Solar Installation,4.6,PNM,87106
20727,Affordable Solar Installation,6.4,PNM,87059
20728,Affordable Solar Installation,11.4,PNM,87122
20729,Affordable Solar Installation,7.3,PNM,87109
20730,Affordable Solar Installation,5.2,PNM,87048
20731,Affordable Solar Installation,11.6,CNMEC,87015
20732,Affordable Solar Installation,7.5,PNM,87112
20733,Affordable Solar Installation,12.3,PNM,87111
20734,Affordable Solar Installation,3.8,PNM,87120
20735,Affordable Solar Installation,6.4,PNM,87120
20736,Affordable Solar Installation,4.8,PNM,87104
