TaxCreditApplicationID,ReviewDate
20955,12/21/2020
20956,12/21/2020
20959,12/21/2020
20960,12/21/2020
20961,12/21/2020
20962,12/21/2020
20963,12/21/2020
20964,12/21/2020
20965,12/21/2020
20966,12/21/2020
20967,12/21/2020
20968,12/21/2020
20969,12/22/2020
20970,12/22/2020
20971,12/22/2020
20972,12/22/2020
20973,12/30/2020
20974,12/22/2020
20975,12/22/2020
20976,2/10/2021
20977,12/22/2020
20978,12/22/2020
20979,12/22/2020
20980,12/22/2020
20981,12/22/2020
20982,12/22/2020
20983,12/22/2020
20984,12/22/2020
20985,12/22/2020
20986,12/22/2020
20987,12/22/2020
20988,12/22/2020
20990,12/22/2020
20991,12/22/2020
20992,12/22/2020
20993,12/22/2020
20994,12/22/2020
20995,12/22/2020
20996,12/22/2020
20997,12/22/2020
20998,12/22/2020
20999,12/22/2020
21000,12/22/2020
21001,12/22/2020
21002,12/22/2020
21003,12/22/2020
21004,12/30/2020
21005,12/22/2020
21006,12/22/2020
21007,12/22/2020
21008,12/22/2020
21009,6/2/2021
21010,12/22/2020
21011,12/22/2020
21012,12/22/2020
21013,12/22/2020
21014,12/22/2020
21015,12/22/2020
21016,12/22/2020
21017,12/28/2020
21018,12/28/2020
21019,12/28/2020
21020,12/22/2020
21021,12/28/2020
21022,12/28/2020
21023,12/28/2020
21024,12/30/2020
21025,12/28/2020
21026,12/28/2020
21027,12/28/2020
21028,12/28/2020
21029,12/30/2020
21030,12/28/2020
21031,12/28/2020
21033,12/28/2020
21034,12/28/2020
21035,12/28/2020
21036,12/28/2020
21037,12/28/2020
21038,12/28/2020
21039,12/28/2020
21040,12/28/2020
21041,12/28/2020
21042,12/28/2020
21043,12/28/2020
21044,12/28/2020
21045,12/28/2020
21046,12/28/2020
21047,12/28/2020
21049,12/28/2020
21051,12/28/2020
21052,3/29/2021
21053,12/28/2020
21054,12/28/2020
21055,3/2/2021
21056,12/28/2020
21057,12/28/2020
21058,12/28/2020
21059,12/28/2020
21060,12/28/2020
21061,12/28/2020
21062,12/28/2020
21074,12/30/2020
21075,12/30/2020
21076,12/30/2020
21077,12/30/2020
21078,1/8/2021
21079,12/30/2020
21080,12/30/2020
21081,12/30/2020
21082,12/30/2020
21083,12/30/2020
21084,12/30/2020
21085,12/30/2020
21086,12/30/2020
21087,12/30/2020
21088,12/30/2020
21089,12/30/2020
21090,12/30/2020
21091,12/30/2020
21094,12/30/2020
21104,1/4/2021
21105,1/8/2021
21106,1/4/2021
21107,1/4/2021
21108,1/8/2021
21109,1/4/2021
21110,1/4/2021
21111,1/4/2021
21112,1/4/2021
21113,1/4/2021
21114,1/4/2021
21115,1/4/2021
21116,1/4/2021
21117,1/4/2021
21118,1/4/2021
21119,1/27/2021
21120,1/4/2021
21121,1/4/2021
21122,1/4/2021
21127,1/5/2021
21133,1/5/2021
21134,1/5/2021
